"time","q",,
2,3.055,-2.426,
2.01,3.055,-2.426,
2.02,3.055,-2.426,
2.03,3.054,-2.426,
2.04,3.054,-2.426,
2.05,3.054,-2.426,
2.06,3.054,-2.425,
2.07,3.053,-2.425,
2.08,3.053,-2.424,
2.09,3.052,-2.424,
2.1,3.052,-2.423,
2.11,3.051,-2.422,
2.12,3.05,-2.422,
2.13,3.05,-2.421,
2.14,3.049,-2.42,
2.15,3.048,-2.419,
2.16,3.047,-2.418,
2.17,3.046,-2.417,
2.18,3.045,-2.416,
2.19,3.044,-2.414,
2.2,3.043,-2.413,
2.21,3.042,-2.412,
2.22,3.04,-2.41,
2.23,3.039,-2.409,
2.24,3.038,-2.407,
2.25,3.036,-2.405,
2.26,3.034,-2.403,
2.27,3.033,-2.402,
2.28,3.031,-2.4,
2.29,3.029,-2.398,
2.3,3.027,-2.395,
2.31,3.026,-2.393,
2.32,3.024,-2.391,
2.33,3.022,-2.389,
2.34,3.019,-2.386,
2.35,3.017,-2.383,
2.36,3.015,-2.381,
2.37,3.013,-2.378,
2.38,3.01,-2.375,
2.39,3.008,-2.372,
2.4,3.005,-2.369,
2.41,3.003,-2.366,
2.42,3,-2.363,
2.43,2.997,-2.36,
2.44,2.994,-2.356,
2.45,2.991,-2.353,
2.46,2.989,-2.349,
2.47,2.986,-2.346,
2.48,2.982,-2.342,
2.49,2.979,-2.338,
2.5,2.976,-2.334,
2.51,2.973,-2.33,
2.52,2.969,-2.326,
2.53,2.966,-2.322,
2.54,2.962,-2.317,
2.55,2.959,-2.313,
2.56,2.955,-2.308,
2.57,2.952,-2.304,
2.58,2.948,-2.299,
2.59,2.944,-2.294,
2.6,2.94,-2.289,
2.61,2.936,-2.284,
2.62,2.932,-2.279,
2.63,2.928,-2.274,
2.64,2.924,-2.269,
2.65,2.92,-2.263,
2.66,2.915,-2.258,
2.67,2.911,-2.252,
2.68,2.906,-2.246,
2.69,2.902,-2.24,
2.7,2.897,-2.234,
2.71,2.893,-2.228,
2.72,2.888,-2.222,
2.73,2.883,-2.215,
2.74,2.878,-2.209,
2.75,2.873,-2.202,
2.76,2.868,-2.196,
2.77,2.863,-2.189,
2.78,2.858,-2.182,
2.79,2.853,-2.175,
2.8,2.848,-2.167,
2.81,2.842,-2.16,
2.82,2.837,-2.152,
2.83,2.832,-2.145,
2.84,2.826,-2.137,
2.85,2.82,-2.129,
2.86,2.815,-2.121,
2.87,2.809,-2.113,
2.88,2.803,-2.105,
2.89,2.797,-2.096,
2.9,2.791,-2.088,
2.91,2.785,-2.079,
2.92,2.779,-2.07,
2.93,2.773,-2.061,
2.94,2.766,-2.052,
2.95,2.76,-2.043,
2.96,2.753,-2.033,
2.97,2.747,-2.024,
2.98,2.74,-2.014,
2.99,2.734,-2.004,
3,2.727,-1.994,
3.01,2.72,-1.984,
3.02,2.714,-1.974,
3.03,2.707,-1.964,
3.04,2.7,-1.953,
3.05,2.693,-1.943,
3.06,2.686,-1.932,
3.07,2.679,-1.922,
3.08,2.672,-1.911,
3.09,2.665,-1.9,
3.1,2.658,-1.889,
3.11,2.651,-1.878,
3.12,2.644,-1.867,
3.13,2.637,-1.856,
3.14,2.629,-1.845,
3.15,2.622,-1.834,
3.16,2.615,-1.823,
3.17,2.608,-1.812,
3.18,2.601,-1.8,
3.19,2.594,-1.789,
3.2,2.587,-1.778,
3.21,2.58,-1.767,
3.22,2.573,-1.756,
3.23,2.566,-1.745,
3.24,2.559,-1.734,
3.25,2.552,-1.723,
3.26,2.546,-1.712,
3.27,2.539,-1.701,
3.28,2.532,-1.69,
3.29,2.526,-1.679,
3.3,2.519,-1.669,
3.31,2.513,-1.658,
3.32,2.506,-1.647,
3.33,2.5,-1.637,
3.34,2.493,-1.627,
3.35,2.487,-1.616,
3.36,2.481,-1.606,
3.37,2.475,-1.596,
3.38,2.469,-1.586,
3.39,2.463,-1.577,
3.4,2.457,-1.567,
3.41,2.451,-1.557,
3.42,2.446,-1.548,
3.43,2.44,-1.538,
3.44,2.435,-1.529,
3.45,2.429,-1.52,
3.46,2.424,-1.511,
3.47,2.419,-1.502,
3.48,2.413,-1.494,
3.49,2.408,-1.485,
3.5,2.403,-1.477,
3.51,2.399,-1.469,
3.52,2.394,-1.461,
3.53,2.389,-1.453,
3.54,2.385,-1.445,
3.55,2.38,-1.438,
3.56,2.376,-1.431,
3.57,2.372,-1.424,
3.58,2.368,-1.417,
3.59,2.364,-1.41,
3.6,2.36,-1.404,
3.61,2.357,-1.398,
3.62,2.353,-1.392,
3.63,2.35,-1.387,
3.64,2.347,-1.381,
3.65,2.344,-1.376,
3.66,2.341,-1.371,
3.67,2.339,-1.367,
3.68,2.336,-1.363,
3.69,2.334,-1.359,
3.7,2.332,-1.356,
3.71,2.33,-1.352,
3.72,2.328,-1.35,
3.73,2.327,-1.347,
3.74,2.326,-1.345,
3.75,2.325,-1.343,
3.76,2.324,-1.341,
3.77,2.323,-1.34,
3.78,2.322,-1.339,
3.79,2.322,-1.339,
3.8,2.322,-1.339,
3.8,2.322,-1.339,
3.81,2.322,-1.339,
3.82,2.322,-1.338,
3.83,2.322,-1.338,
3.84,2.322,-1.338,
3.85,2.322,-1.338,
3.86,2.321,-1.338,
3.87,2.321,-1.337,
3.88,2.321,-1.337,
3.89,2.321,-1.337,
3.9,2.321,-1.336,
3.91,2.32,-1.336,
3.92,2.32,-1.335,
3.93,2.32,-1.335,
3.94,2.319,-1.334,
3.95,2.319,-1.333,
3.96,2.319,-1.333,
3.97,2.318,-1.332,
3.98,2.318,-1.332,
