"q",,"time",
-3.5628,-1.85,1.89,
-3.5662,-1.8376,1.9,
-3.57,-1.8239,1.91,
-3.5742,-1.8092,1.92,
-3.5786,-1.7939,1.93,
-3.5829,-1.7784,1.94,
-3.5868,-1.7629,1.95,
-3.5902,-1.7479,1.96,
-3.5928,-1.7338,1.97,
-3.5943,-1.7211,1.98,
-3.5944,-1.7101,1.99,
-3.5928,-1.7013,2,
-3.5865,-1.701,2.01,
-3.573,-1.7142,2.02,
-3.5536,-1.7388,2.03,
-3.5294,-1.7731,2.04,
-3.5015,-1.8148,2.05,
-3.4711,-1.8622,2.06,
-3.4394,-1.9134,2.07,
-3.4075,-1.9667,2.08,
-3.3763,-2.0204,2.09,
-3.347,-2.0733,2.1,
-3.3204,-2.1238,2.11,
-3.297,-2.1712,2.12,
-3.2773,-2.2144,2.13,
-3.2615,-2.2528,2.14,
-3.25,-2.2854,2.15,
-3.2431,-2.3116,2.16,
-3.2408,-2.3305,2.17,
-3.2433,-2.3413,2.18,
-3.2508,-2.3434,2.19,
-3.2668,-2.3363,2.2,
-3.2916,-2.3208,2.21,
-3.3233,-2.2979,2.22,
-3.3604,-2.2683,2.23,
-3.4013,-2.2328,2.24,
-3.4447,-2.1922,2.25,
-3.4895,-2.1474,2.26,
-3.5346,-2.0991,2.27,
-3.5793,-2.0483,2.28,
-3.6227,-1.9958,2.29,
-3.6644,-1.9428,2.3,
-3.7035,-1.8903,2.31,
-3.7394,-1.8399,2.32,
-3.7709,-1.7934,2.33,
-3.7971,-1.7526,2.34,
-3.8168,-1.7197,2.35,
-3.8288,-1.6966,2.36,
-3.8318,-1.6854,2.37,
-3.8257,-1.6865,2.38,
-3.8171,-1.6917,2.39,
-3.807,-1.6998,2.4,
-3.7952,-1.7112,2.41,
-3.7819,-1.7254,2.42,
-3.7675,-1.7417,2.43,
-3.7522,-1.7595,2.44,
-3.7366,-1.7783,2.45,
-3.7208,-1.7975,2.46,
-3.7052,-1.8165,2.47,
-3.6903,-1.8348,2.48,
-3.6762,-1.8518,2.49,
